Sample in Buffer,Sample in Window,TRIGGER,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_wdata[31:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_writechannels[3:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_loadacc[3:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_getfilters[2:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_getbias[2:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_conv2d[4:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/i_done2d,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_req,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_wen,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/write2
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000136c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
1,1,0,0000136c,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
2,2,0,0000136c,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_WAIT2",0,0,0,1
3,3,0,0000136c,"wcSTART1","laWAIT","gfDONE","gbDONE","fsm_SOP",0,0,0,1
4,4,0,0000136c,"wcSTART2","laST1","gfDONE","gbDONE","fsm_SOP",0,0,0,0
5,5,0,00008bae,"wcSTART3","laST2","gfDONE","gbDONE","fsm_SOP",0,0,0,0
6,6,0,00008bae,"wcWRITE1","laST3","gfDONE","gbDONE","fsm_SOP",0,1,0,0
7,7,0,11003796,"wcWRITE1","laST4","gfDONE","gbDONE","fsm_SOP",0,0,0,0
8,8,0,11003796,"wcWRITE1","laST5","gfDONE","gbDONE","fsm_SOP",0,0,0,0
9,9,0,11003796,"wcWRITE1","laST6","gfDONE","gbDONE","fsm_SOP",0,0,0,0
10,10,0,11003796,"wcWRITE1","laST7","gfDONE","gbDONE","fsm_SOP",0,0,0,0
11,11,0,11003796,"wcWRITE1","laST8","gfDONE","gbDONE","fsm_SOP8",0,0,0,0
12,12,0,11003796,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP16",0,1,0,0
13,13,0,11003796,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
14,14,0,11003796,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
15,15,0,11003796,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
16,16,0,11003796,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
17,17,0,11003796,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
18,18,0,11003796,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
19,19,0,11003796,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_WAIT2",0,0,0,1
20,20,0,11003796,"wcSTART1","laWAIT","gfDONE","gbDONE","fsm_SOP",0,0,0,1
21,21,0,11003796,"wcSTART2","laST1","gfDONE","gbDONE","fsm_SOP",0,0,0,0
22,22,0,25008d00,"wcSTART3","laST2","gfDONE","gbDONE","fsm_SOP",0,0,0,0
23,23,0,25008d00,"wcWRITE1","laST3","gfDONE","gbDONE","fsm_SOP",0,1,0,0
24,24,0,1e000b6c,"wcWRITE1","laST4","gfDONE","gbDONE","fsm_SOP",0,0,0,0
25,25,0,1e000b6c,"wcWRITE1","laST5","gfDONE","gbDONE","fsm_SOP",0,0,0,0
26,26,0,1e000b6c,"wcWRITE1","laST6","gfDONE","gbDONE","fsm_SOP",0,0,0,0
27,27,0,1e000b6c,"wcWRITE1","laST7","gfDONE","gbDONE","fsm_SOP",0,0,0,0
28,28,0,1e000b6c,"wcWRITE1","laST8","gfDONE","gbDONE","fsm_SOP8",0,0,0,0
29,29,0,1e000b6c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP16",0,1,0,0
30,30,0,1e000b6c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
31,31,0,1e000b6c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
32,32,0,1e000b6c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
33,33,0,1e000b6c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
34,34,0,1e000b6c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
